name_of_sound.voc,type of sound (like weapon or duke health etc),filesize in bytes
lookin01.voc,duke movement sounds,17243
b2atk02.voc,definesound slim_pain     slimpn.voc             0   0   3   0   0,17491
WAITIN03.voc,duke's body sounds,17544
CTRLRM25.VOC,six misc ambience city sounds,17741
GOTHRT01.voc,six misc ambience city sounds,17769
WARAMB29.VOC,six misc ambience city sounds,18103
compamb.voc,ambience sounds,18209
b2rec03.voc,definesound slim_pain     slimpn.voc             0   0   3   0   0,18307
thsuk13a.voc,duke health sounds,18400
news.voc,six misc ambience city sounds,19197
bos1dy.voc,definesound slim_pain     slimpn.voc             0   0   3   0   0,19473
EATSHT01.VOC,six misc ambience city sounds,19492
HAIL01.VOC,duke's body sounds,20214
buckle.VOC,six misc ambience city sounds,20786
bombexpl.voc,weapon sounds,21020
pigrg.voc,actor sounds,21349
secret.voc,six misc ambience city sounds,21393
adoor2.voc,six misc ambience city sounds,21437
b3pain04.voc,definesound slim_pain     slimpn.voc             0   0   3   0   0,21625
commat.voc,actor sounds,21709
adoor1.voc,six misc ambience city sounds,21743
commrg.voc,actor sounds,21769
hydro24.voc,six misc ambience city sounds,21857
vault04.voc,six misc ambience city sounds,22013
roam98b.voc,six misc ambience city sounds,22046
hydro40.voc,six misc ambience city sounds,22093
myself3a.voc,six misc ambience city sounds,22239
hydro27.voc,six misc ambience city sounds,22297
ahmuch03.voc,duke's body sounds,22320
jones04.voc,six misc ambience city sounds,22448
b3roam01.voc,definesound slim_pain     slimpn.voc             0   0   3   0   0,22941
hydro43.voc,equipment sounds,23031
doomed16.voc,six misc ambience city sounds,23392
lani05.voc,six misc ambience city sounds,23476
chokn12.voc,actor sounds,23523
b3die03g.voc,definesound slim_pain     slimpn.voc             0   0   3   0   0,24101
QUAKE06.VOC,six misc ambience city sounds,24110
h2ogrgl2.voc,miscellaneous sounds,24238
killme.voc,ambience sounds,24419
WHIPYU01.VOC,six misc ambience city sounds,25904
commdy.voc,actor sounds,26071
lava06.voc,six misc ambience city sounds,26414
octaat1.voc,actor sounds,26749
con03.voc,six misc ambience city sounds,26836
lani08.voc,six misc ambience city sounds,26844
pisses01.voc,duke health sounds,27560
bubblamb.voc,ambience sounds,29114
rip01.voc,six misc ambience city sounds,29210
flush.voc,equipment sounds,29559
BOOBY04.voc,duke movement sounds,29614
roam22.voc,six misc ambience city sounds,30360
DSCREM04.voc,ambience sounds,30563
FORCE01.VOC,six misc ambience city sounds,30756
FACE01.VOC,six misc ambience city sounds,31405
freeze.voc,duke movement sounds,31461
pay02.voc,six misc ambience city sounds,34223
2ride06.voc,six misc ambience city sounds,36266
r&r01.voc,six misc ambience city sounds,36343
bos1rm.voc,definesound slim_pain     slimpn.voc             0   0   3   0   0,36836
NOBODY01.VOC,six misc ambience city sounds,36937
duknuk14.voc,duke movement sounds,37069
DEFEATED.VOC,duke movement sounds,37429
flyby.voc,weapon sounds,37715
fire09.voc,common death sounds,38636
BORN01.VOC,six misc ambience city sounds,39923
MUSTDIE.voc,duke movement sounds,40373
WARAMB21.VOC,six misc ambience city sounds,40927
WARAMB13.VOC,six misc ambience city sounds,42180
WARAMB23.VOC,six misc ambience city sounds,42467
wind54.voc,ambience sounds,43594
b2die03.voc,definesound slim_pain     slimpn.voc             0   0   3   0   0,44797
!boss.voc,duke movement sounds,45621
amb81b.voc,six misc ambience city sounds,50616
!pig.voc,actor sounds,50626
ktitx.voc,miscellaneous sounds,51836
CHEW05.VOC,six misc ambience city sounds,52255
shotgun7.voc,actor sounds,52477
monolith.voc,six misc ambience city sounds,52923
!prison.voc,six misc ambience city sounds,59851
laniduk2.voc,six misc ambience city sounds,68419
CHEER.VOC,six misc ambience city sounds,68525
headrip3.VOC,six misc ambience city sounds,76171
barmusic.voc,ambience sounds,77801
whistle.voc,six misc ambience city sounds,87627
2bwild.voc,miscellaneous sounds,153467
bonus.voc,affect environment sounds,274985
GRABBAG.VOC,six misc ambience city sounds,307945
b3atk01.voc,definesound slim_pain     slimpn.voc             0   0   3   0   0,
fan.voc,equipment sounds,
hlmexhal.voc,duke's body sounds,
hlminhal.voc,duke's body sounds,
hover.voc,equipment sounds,
turrat.voc,actor sounds,
turrdy.voc,actor sounds,
turrpn.voc,actor sounds,
turrrg.voc,actor sounds,
turrrm.voc,actor sounds,
vpiss2.voc,six misc ambience city sounds,
yes.voc,duke movement sounds,
